flown_key;customer_key;leg_origin_key;leg_dest_key;trip_origin_key;trip_dest_key;flight_key;fare_class_key;channel_key;fare;miles;minutes_late;ticket_number
18;1;12;1;12;6;20;2;4;157;828;0;3019
18;1;1;6;12;6;94;2;2;21;112;36;3019
24;1;6;12;6;12;6;3;2;375;1972;22;3019
38;1;5;14;5;11;1;2;4;303;1597;0;1063
38;1;14;11;5;11;76;3;2;360;1897;40;1063
41;1;11;4;11;5;15;4;1;99;522;0;1063
41;1;4;5;11;5;84;1;4;238;1255;0;1063
32;1;14;19;14;19;11;2;2;191;1004;0;8348
37;1;19;14;19;14;10;4;3;239;1257;0;8348
51;1;14;11;14;11;16;1;4;316;1665;0;3904
54;1;11;17;11;14;3;2;2;136;714;0;3904
54;1;17;14;11;14;92;1;2;288;1515;0;3904
44;1;5;4;5;7;24;4;1;332;1745;0;954
44;1;4;7;5;7;81;3;4;12;61;0;954
52;1;7;5;7;5;18;3;4;126;662;0;954
56;1;9;13;9;20;9;4;3;378;1987;0;1146
56;1;13;20;9;20;75;3;4;204;1076;0;1146
65;1;20;4;20;9;11;2;1;162;855;0;1146
65;1;4;9;20;9;80;2;1;337;1773;0;1146
52;1;4;8;4;11;22;3;2;284;1494;0;2232
52;1;8;11;4;11;94;2;4;363;1913;0;2232
53;1;11;12;11;4;6;1;1;151;797;74;2232
53;1;12;4;11;4;77;4;4;164;862;0;2232
80;1;17;6;17;14;9;4;1;245;1291;0;4175
80;1;6;14;17;14;77;2;4;364;1918;0;4175
85;1;14;20;14;17;14;3;3;263;1385;0;4175
85;1;20;17;14;17;93;4;2;85;447;0;4175
59;1;11;16;11;16;20;3;1;333;1751;0;8006
61;1;16;9;16;11;3;4;1;189;995;0;8006
61;1;9;11;16;11;97;1;4;83;436;0;8006
91;1;13;12;13;8;24;2;4;98;518;0;3895
91;1;12;8;13;8;79;2;4;319;1681;0;3895
99;1;8;13;8;13;16;3;2;357;1879;0;3895
90;1;12;19;12;19;18;1;4;93;491;0;5748
94;1;19;5;19;12;24;4;2;292;1539;0;5748
94;1;5;12;19;12;84;4;1;58;305;0;5748
85;1;14;10;14;11;1;1;3;339;1782;0;1830
85;1;10;11;14;11;79;4;1;143;754;0;1830
95;1;11;16;11;14;9;4;4;214;1127;0;1830
95;1;16;14;11;14;80;2;4;201;1056;0;1830
87;1;11;20;11;5;21;3;3;66;348;0;9626
87;1;20;5;11;5;75;2;3;42;219;0;9626
91;1;5;9;5;11;19;2;4;196;1032;0;9626
91;1;9;11;5;11;89;3;2;108;566;0;9626
101;1;8;16;8;1;15;2;4;302;1587;0;2946
101;1;16;1;8;1;77;1;1;171;902;0;2946
106;1;1;8;1;8;1;1;4;212;1116;0;2946
112;1;2;12;2;7;9;4;3;164;863;0;6030
112;1;12;7;2;7;79;4;3;361;1902;0;6030
119;1;7;14;7;2;1;4;4;362;1907;0;6030
119;1;14;2;7;2;82;2;2;21;109;0;6030
119;1;11;15;11;15;2;3;3;220;1160;0;4509
128;1;15;11;15;11;5;1;4;70;368;0;4509
121;1;6;16;6;15;8;3;3;85;445;0;6648
121;1;16;15;6;15;88;1;2;239;1259;0;6648
122;1;15;6;15;6;11;3;4;342;1798;0;6648
133;1;16;9;16;8;18;3;1;33;174;28;4119
133;1;9;8;16;8;90;2;1;302;1590;0;4119
137;1;8;16;8;16;16;4;2;211;1108;0;4119
155;1;7;15;7;13;18;2;1;193;1018;0;5972
155;1;15;13;7;13;82;2;3;221;1165;0;5972
156;1;13;15;13;7;11;2;1;81;426;0;5972
156;1;15;7;13;7;97;3;2;287;1510;0;5972
149;1;18;17;18;17;7;1;4;204;1076;0;4104
150;1;17;18;17;18;8;4;4;161;846;0;4104
162;1;12;13;12;13;4;2;1;109;575;0;787
171;1;13;12;13;12;5;3;3;230;1213;0;787
174;1;2;8;2;8;14;3;2;317;1671;0;8228
182;1;8;2;8;2;4;4;2;139;734;0;8228
157;1;8;1;8;10;17;4;2;272;1433;0;2979
157;1;1;10;8;10;99;2;4;134;707;0;2979
163;1;10;9;10;8;16;4;2;368;1938;0;2979
163;1;9;8;10;8;89;4;1;280;1476;0;2979
165;1;10;12;10;12;3;1;3;104;549;0;596
170;1;12;10;12;10;11;3;3;244;1282;0;596
6;2;3;16;3;16;1;4;3;304;1600;52;2646
7;2;16;4;16;3;11;4;3;47;246;0;2646
7;2;4;3;16;3;75;1;3;86;452;18;2646
19;2;7;3;7;20;23;1;4;93;488;46;5790
19;2;3;20;7;20;93;3;4;209;1102;0;5790
26;2;20;7;20;7;7;1;3;323;1699;0;5790
44;2;17;13;17;20;25;1;3;62;325;0;2391
44;2;13;20;17;20;90;1;3;208;1093;76;2391
49;2;20;17;20;17;13;4;4;369;1941;0;2391
47;2;15;20;15;6;7;2;3;190;1000;0;7902
47;2;20;6;15;6;89;4;4;340;1791;0;7902
55;2;6;15;6;15;7;3;1;146;768;50;7902
43;2;16;12;16;7;22;2;3;19;100;0;788
43;2;12;7;16;7;80;3;3;375;1975;0;788
49;2;7;16;7;16;5;2;4;317;1667;0;788
48;2;16;17;16;17;12;4;1;319;1680;0;6077
50;2;17;1;17;16;4;2;1;80;420;0;6077
50;2;1;16;17;16;87;4;2;358;1885;0;6077
45;2;18;6;18;10;14;4;2;207;1091;0;4073
45;2;6;10;18;10;78;1;1;123;646;0;4073
53;2;10;11;10;18;18;1;4;344;1813;0;4073
53;2;11;18;10;18;95;3;3;284;1495;0;4073
63;2;11;2;11;1;20;1;1;261;1375;0;6655
63;2;2;1;11;1;79;4;3;48;254;0;6655
66;2;1;5;1;11;3;1;1;175;923;19;6655
66;2;5;11;1;11;82;3;1;35;186;0;6655
80;2;9;15;9;10;10;4;1;26;139;0;4604
80;2;15;10;9;10;95;3;1;186;981;0;4604
84;2;10;9;10;9;16;3;3;236;1243;0;4604
74;2;11;9;11;17;14;2;4;374;1968;0;1532
74;2;9;17;11;17;91;1;4;187;985;16;1532
83;2;17;11;17;11;20;3;4;64;339;0;1532
97;2;6;9;6;7;15;1;3;7;35;0;8680
97;2;9;7;6;7;90;4;4;270;1422;0;8680
98;2;7;16;7;6;10;1;3;103;543;0;8680
98;2;16;6;7;6;91;1;1;6;32;0;8680
80;2;18;2;18;2;19;1;2;333;1750;0;7203
89;2;2;18;2;18;14;2;1;376;1977;0;7203
105;2;6;18;6;18;2;1;3;118;619;0;7335
112;2;18;7;18;6;22;2;2;141;741;0;7335
112;2;7;6;18;6;86;4;1;100;525;0;7335
97;2;4;20;4;5;10;4;2;263;1385;0;1763
97;2;20;5;4;5;76;4;3;379;1996;0;1763
101;2;5;4;5;4;5;3;1;270;1423;0;1763
104;2;7;10;7;10;16;3;3;295;1555;0;9244
112;2;10;7;10;7;9;3;2;291;1532;0;9244
111;2;14;8;14;20;7;4;4;232;1219;0;7736
111;2;8;20;14;20;98;3;2;177;930;0;7736
118;2;20;8;20;14;14;2;1;261;1376;77;7736
118;2;8;14;20;14;98;1;3;96;506;95;7736
141;2;4;15;4;19;24;3;1;188;992;0;1135
141;2;15;19;4;19;89;1;2;29;154;0;1135
142;2;19;4;19;4;2;3;3;126;661;0;1135
146;2;10;20;10;9;1;1;1;64;339;0;6225
146;2;20;9;10;9;86;1;2;108;571;0;6225
155;2;9;6;9;10;6;4;3;367;1930;0;6225
155;2;6;10;9;10;91;3;1;185;972;0;6225
130;2;8;12;8;2;1;4;2;215;1134;0;9628
130;2;12;2;8;2;91;4;3;209;1101;37;9628
137;2;2;8;2;8;12;1;1;96;507;0;9628
140;2;18;5;18;5;9;3;1;355;1871;0;3081
141;2;5;15;5;18;24;1;3;25;130;0;3081
141;2;15;18;5;18;92;4;4;82;433;0;3081
156;2;20;14;20;14;7;3;4;210;1104;0;8314
165;2;14;18;14;20;22;1;2;146;766;0;8314
165;2;18;20;14;20;96;4;2;52;273;0;8314
149;2;7;11;7;12;8;4;4;140;738;33;3479
149;2;11;12;7;12;84;1;3;89;468;0;3479
155;2;12;7;12;7;10;3;4;105;551;0;3479
181;2;15;18;15;18;10;2;3;318;1672;0;2075
30;3;3;18;3;18;20;1;3;145;762;0;9430
38;3;18;11;18;3;12;3;1;195;1025;0;9430
38;3;11;3;18;3;76;1;4;97;509;0;9430
28;3;17;7;17;7;17;1;2;152;798;0;2593
32;3;7;4;7;17;16;4;1;258;1360;0;2593
32;3;4;17;7;17;79;1;2;186;977;0;2593
29;3;7;15;7;15;4;1;1;238;1250;0;9939
38;3;15;18;15;7;21;4;4;52;272;0;9939
38;3;18;7;15;7;77;1;1;228;1199;0;9939
41;3;1;12;1;10;23;1;2;172;903;44;830
41;3;12;10;1;10;94;2;3;30;160;0;830
42;3;10;20;10;1;7;1;1;271;1426;0;830
42;3;20;1;10;1;77;2;2;129;681;85;830
32;3;8;10;8;16;7;1;3;61;320;0;9611
32;3;10;16;8;16;78;3;3;336;1770;0;9611
39;3;16;13;16;8;3;1;2;144;757;0;9611
39;3;13;8;16;8;92;2;4;154;811;0;9611
54;3;8;2;8;2;8;2;2;263;1386;0;5643
58;3;2;13;2;8;14;4;2;190;999;0;5643
58;3;13;8;2;8;84;3;4;318;1674;0;5643
63;3;14;16;14;16;9;1;4;320;1684;0;4409
72;3;16;14;16;14;8;3;3;368;1936;55;4409
69;3;13;5;13;5;11;1;2;174;914;0;8505
74;3;5;13;5;13;14;1;4;295;1551;0;8505
71;3;6;4;6;7;11;3;4;1;3;0;7694
71;3;4;7;6;7;87;3;1;362;1906;0;7694
74;3;7;14;7;6;23;2;1;297;1562;0;7694
74;3;14;6;7;6;90;3;3;300;1578;0;7694
89;3;14;12;14;12;13;2;3;252;1324;38;604
90;3;12;2;12;14;19;3;3;250;1317;0;604
90;3;2;14;12;14;78;4;2;291;1530;0;604
82;3;7;9;7;16;3;1;2;155;816;0;7550
82;3;9;16;7;16;90;1;4;364;1917;0;7550
87;3;16;17;16;7;23;4;2;235;1235;0;7550
87;3;17;7;16;7;81;1;4;311;1637;0;7550
89;3;6;20;6;2;18;2;1;248;1303;0;6694
89;3;20;2;6;2;99;1;4;110;577;0;6694
97;3;2;6;2;6;10;4;1;104;548;0;6694
89;3;1;18;1;10;21;3;3;250;1314;0;9185
89;3;18;10;1;10;99;3;4;243;1278;0;9185
94;3;10;17;10;1;19;1;3;369;1941;0;9185
94;3;17;1;10;1;87;2;2;152;798;0;9185
110;3;20;2;20;2;14;2;2;140;739;0;789
